Time,Steel Center,Steel Surface,Copper Surface,Copper Center,P 5,P 6,P 7,P 8,P 9,P 10
44.384,38.762905,36.521404,32.452797,32.450546,,,,,,
44.732,38.650955,36.438648,32.410324,32.404922,,,,,,
45.101,38.537777,36.341713,32.355145,32.35582,,,,,,
45.452,38.404694,36.258076,32.305504,32.296947,,,,,,
45.814,38.309086,36.156242,32.259377,32.252396,,,,,,
46.182,38.164165,36.047115,32.194649,32.191723,,,,,,
46.532,38.092781,35.975651,32.170147,32.159561,,,,,,
46.9,37.968861,35.87154,32.110283,32.114338,,,,,,
47.266,37.862591,35.802826,32.079113,32.076408,,,,,,
47.631,37.752815,35.703327,32.041939,32.027069,,,,,,
47.981,37.6562,35.632923,32.005035,32.002331,,,,,,
48.343,37.540878,35.537487,31.944717,31.942688,,,,,,
48.692,37.443134,35.461945,31.90062,31.89183,,,,,,
49.061,37.35421,35.372211,31.854633,31.854183,,,,,,
49.43,37.245262,35.291924,31.800365,31.809607,,,,,,
49.796,37.15023,35.223152,31.764467,31.766045,,,,,,
50.162,37.059246,35.144569,31.735153,31.730869,,,,,,
50.51,36.955265,35.082504,31.698805,31.674004,,,,,,
50.871,36.85788,34.991913,31.651333,31.641411,,,,,,
51.244,36.779488,34.929798,31.639751,31.617653,,,,,,
51.613,36.687279,34.844189,31.590097,31.583557,,,,,,
51.979,36.583965,34.764015,31.562162,31.551563,,,,,,
52.342,36.499714,34.697372,31.533201,31.51358,,,,,,
52.691,36.428219,34.634361,31.495041,31.48489,,,,,,
53.043,36.35323,34.57613,31.475908,31.464405,,,,,,
53.405,36.258263,34.501217,31.443157,31.429396,,,,,,
53.772,36.162418,34.433056,31.405701,31.389683,,,,,,
54.141,36.076881,34.356411,31.356329,31.343693,,,,,,
54.508,36.004772,34.297054,31.334967,31.334064,,,,,,
54.857,35.935326,34.246658,31.323299,31.305021,,,,,,
55.222,35.853577,34.181675,31.292902,31.290421,,,,,,
55.573,35.78632,34.125404,31.276917,31.265182,,,,,,
55.936,35.698174,34.058052,31.242346,31.228128,,,,,,
56.284,35.645248,34.011009,31.229109,31.199543,,,,,,
56.651,35.54792,33.940739,31.178522,31.175137,,,,,,
57.019,35.469753,33.883411,31.158792,31.142992,,,,,,
57.384,35.401703,33.825695,31.138897,31.139574,,,,,,
57.754,35.336422,33.77951,31.131058,31.106228,,,,,,
58.105,35.270878,33.714878,31.103773,31.085939,,,,,,
58.466,35.198452,33.667599,31.080397,31.06324,,,,,,
58.814,35.134148,33.613422,31.056185,31.045122,,,,,,
59.182,35.062809,33.56612,31.033693,31.021727,,,,,,
59.545,34.99778,33.510548,31.002443,30.985058,,,,,,
59.912,34.932907,33.455364,30.971813,30.963909,,,,,,
60.262,34.875992,33.406139,30.970659,30.95508,,,,,,
60.623,34.809593,33.353027,30.94212,30.923151,,,,,,
60.983,34.747219,33.30687,30.914478,30.893927,,,,,,
61.349,34.677029,33.249283,30.884386,30.861349,,,,,,
61.707,34.614048,33.205673,30.860212,30.854792,,,,,,
62.075,34.558228,33.163177,30.856586,30.834002,,,,,,
62.426,34.510956,33.118248,30.837193,30.810539,,,,,,
62.795,34.447258,33.077297,30.811863,30.788145,,,,,,
63.151,34.391388,33.025768,30.802784,30.777033,,,,,,
63.518,34.330685,32.980862,30.774162,30.757219,,,,,,
63.899,34.26931,32.939556,30.752096,30.731991,,,,,,
64.242,34.20826,32.903976,30.739853,30.706869,,,,,,
64.6,34.168594,32.860836,30.713236,30.695614,,,,,,
64.974,34.109459,32.813461,30.703386,30.678986,,,,,,
65.335,34.05238,32.770855,30.675955,30.655621,,,,,,
65.691,34.013336,32.743183,30.669855,30.646582,,,,,,
66.049,33.960781,32.697914,30.65196,30.623491,,,,,,
66.396,33.913536,32.662247,30.637383,30.619532,,,,,,
66.747,33.847054,32.621475,30.636436,30.611805,,,,,,
67.103,33.816563,32.582134,30.614107,30.585859,,,,,,
67.462,33.773994,32.563538,30.616676,30.59182,,,,,,
67.823,33.711372,32.50301,30.584831,30.566301,,,,,,
68.184,33.676456,32.474537,30.586754,30.560991,,,,,,
68.533,33.627998,32.43924,30.561266,30.541603,,,,,,
68.897,33.565437,32.401291,30.542604,30.51458,,,,,,
69.253,33.533455,32.38139,30.548393,30.525793,,,,,,
69.613,33.499596,32.343849,30.523594,30.511389,,,,,,
69.976,33.442318,32.3022,30.523598,30.491503,,,,,,
70.325,33.395836,32.264614,30.509836,30.466438,,,,,,
70.689,33.367779,32.248203,30.503309,30.488167,,,,,,
71.053,33.322376,32.215538,30.485893,30.465551,,,,,,
71.417,33.279842,32.177185,30.471817,30.45961,,,,,,
71.774,33.226501,32.139042,30.467672,30.439869,,,,,,
72.136,33.187687,32.10577,30.445137,30.428183,,,,,,
72.485,33.157097,32.092686,30.45981,30.436752,,,,,,
72.835,33.12455,32.060291,30.45059,30.423239,,,,,,
73.192,33.078053,32.022255,30.429157,30.407455,,,,,,
73.556,33.040733,32.008064,30.425772,30.396835,,,,,,
73.919,32.989826,31.973949,30.41415,30.397421,,,,,,
74.288,32.964314,31.952888,30.411785,30.383978,,,,,,
74.637,32.926949,31.920856,30.399998,30.369928,,,,,,
75,32.89064,31.891685,30.382263,30.359655,,,,,,
75.351,32.861542,31.867935,30.376074,30.357988,,,,,,
75.709,32.820515,31.841928,30.377344,30.344336,,,,,,
76.07,32.786098,31.813076,30.357222,30.337326,,,,,,
76.418,32.751919,31.781309,30.329203,30.312698,,,,,,
76.781,32.718178,31.767563,30.345036,30.309988,,,,,,
77.151,32.680355,31.737782,30.328957,30.30386,,,,,,
77.513,32.654999,31.719139,30.328802,30.300539,,,,,,
77.869,32.622665,31.682911,30.308525,30.296993,,,,,,
78.228,32.591209,31.672813,30.303598,30.276691,,,,,,
78.578,32.564835,31.652702,30.30265,30.280266,,,,,,
78.928,32.527557,31.622347,30.268818,30.258642,,,,,,
79.287,32.504807,31.605869,30.277622,30.252747,,,,,,
79.651,32.467064,31.582264,30.267519,30.246037,,,,,,
80.034,32.441025,31.565422,30.26827,30.239325,,,,,,
80.388,32.411774,31.537022,30.25766,30.232557,,,,,,
80.733,32.377472,31.511456,30.246271,30.218681,,,,,,
