Time,Steel Center,Steel Surface,Copper Surface,Copper Center,P 5,P 6,P 7,P 8,P 9,P 10
37.375,48.132221,50.589642,55.971802,55.922798,,,,,,
37.728,48.281578,50.702908,56.048023,55.993656,,,,,,
38.082,48.429031,50.833828,56.117035,56.06826,,,,,,
38.427,48.565048,50.950123,56.190273,56.135063,,,,,,
38.803,48.736664,51.083637,56.26791,56.214642,,,,,,
39.17,48.874916,51.203484,56.334606,56.28886,,,,,,
39.537,49.026909,51.32769,56.401352,56.345734,,,,,,
39.906,49.167557,51.447777,56.457592,56.415291,,,,,,
40.25,49.290848,51.549286,56.51112,56.45723,,,,,,
40.611,49.443874,51.679115,56.56031,56.522099,,,,,,
40.977,49.573784,51.774673,56.607548,56.563755,,,,,,
41.344,49.723801,51.911495,56.681309,56.631516,,,,,,
41.708,49.857426,52.009266,56.718113,56.680771,,,,,,
42.071,49.985126,52.110458,56.772488,56.730427,,,,,,
42.421,50.102638,52.231171,56.828842,56.777775,,,,,,
42.772,50.22414,52.316254,56.862556,56.822647,,,,,,
43.133,50.356155,52.425453,56.917618,56.863338,,,,,,
43.502,50.474144,52.51096,56.947914,56.900074,,,,,,
43.867,50.60334,52.620403,56.992096,56.950264,,,,,,
44.238,50.711697,52.724232,57.027081,56.980106,,,,,,
44.586,50.83746,52.812107,57.06942,57.027382,,,,,,
44.956,50.963421,52.908413,57.107052,57.067806,,,,,,
45.308,51.071808,53.004292,57.148781,57.101173,,,,,,
45.668,51.189556,53.089409,57.182629,57.145535,,,,,,
46.034,51.303097,53.198433,57.231213,57.182972,,,,,,
46.382,51.392735,53.271114,57.26218,57.215012,,,,,,
46.752,51.513077,53.364246,57.308739,57.270576,,,,,,
47.12,51.616341,53.451164,57.342068,57.303909,,,,,,
47.491,51.739883,53.549881,57.408123,57.359684,,,,,,
47.842,51.829628,53.624847,57.439472,57.393391,,,,,,
48.2,51.936752,53.703552,57.485035,57.436817,,,,,,
48.55,52.024559,53.771206,57.498638,57.457066,,,,,,
48.9,52.125637,53.853607,57.548321,57.503532,,,,,,
49.258,52.229935,53.934906,57.586422,57.541851,,,,,,
