Time,Room Temperature,Forced Fanned,Natural Insulated,Natural Uninsulated,P 5,P 6,P 7,P 8,P 9,P 10
89.914,22.879269,33.074875,34.724724,35.856621,,,,,,
90.259,22.878902,33.059322,34.72472,35.850731,,,,,,
90.617,22.887339,33.065361,34.717899,35.848732,,,,,,
90.968,22.889223,33.046856,34.714947,35.841503,,,,,,
91.313,22.897001,33.045273,34.715862,35.845093,,,,,,
91.658,22.893787,33.037441,34.706436,35.840847,,,,,,
92.002,22.906139,33.030918,34.70546,35.837193,,,,,,
92.347,22.923334,33.037601,34.713379,35.842434,,,,,,
92.692,22.921644,33.015907,34.701355,35.832558,,,,,,
93.036,22.932846,33.017006,34.702095,35.833652,,,,,,
93.381,22.939808,33.013721,34.703274,35.839291,,,,,,
93.726,22.935658,33.013893,34.700771,35.836613,,,,,,
94.07,22.938957,32.994469,34.692436,35.832031,,,,,,
94.415,22.942146,32.988159,34.693275,35.829659,,,,,,
94.759,22.952404,32.9851,34.687366,35.823219,,,,,,
95.115,22.946724,32.986618,34.687454,35.835789,,,,,,
95.459,22.939358,32.965015,34.672485,35.820656,,,,,,
95.804,22.943895,32.974342,34.668415,35.823544,,,,,,
96.148,22.949162,32.964909,34.673985,35.821083,,,,,,
96.498,22.950846,32.963718,34.668335,35.825066,,,,,,
96.847,22.946756,32.958054,34.659824,35.821735,,,,,,
97.191,22.956285,32.950165,34.665688,35.816898,,,,,,
97.536,22.963118,32.95694,34.659603,35.819019,,,,,,
97.88,22.96162,32.947948,34.660618,35.824493,,,,,,
98.225,22.961796,32.946693,34.648296,35.808437,,,,,,
98.57,22.964613,32.935184,34.656086,35.810513,,,,,,
98.914,22.966465,32.942741,34.658096,35.812698,,,,,,
99.259,22.957962,32.932526,34.653606,35.816059,,,,,,
99.604,22.972656,32.933868,34.653698,35.80777,,,,,,
99.948,22.958963,32.92601,34.644424,35.811165,,,,,,
100.294,22.953424,32.917839,34.641258,35.79784,,,,,,
100.645,22.960897,32.925785,34.646339,35.810226,,,,,,
100.99,22.956417,32.917229,34.646183,35.803295,,,,,,
101.334,22.954962,32.916859,34.641533,35.803818,,,,,,
101.679,22.945583,32.898624,34.638134,35.79454,,,,,,
102.023,22.960041,32.923145,34.657093,35.80706,,,,,,
102.399,22.949476,32.910526,34.641098,35.793041,,,,,,
102.744,22.951199,32.896324,34.645481,35.79546,,,,,,
103.089,22.952105,32.887753,34.637276,35.786903,,,,,,
103.434,22.963287,32.891514,34.641388,35.781384,,,,,,
103.779,22.969622,32.897793,34.636593,35.784618,,,,,,
104.123,22.968225,32.884254,34.634315,35.778419,,,,,,
104.468,22.95726,32.873203,34.630959,35.773815,,,,,,
104.813,22.961649,32.868259,34.636017,35.777088,,,,,,
105.157,22.964273,32.86961,34.626656,35.766132,,,,,,
105.502,22.971161,32.868217,34.633652,35.772766,,,,,,
105.846,22.976061,32.856094,34.627975,35.771015,,,,,,
106.191,22.973301,32.853714,34.627205,35.758476,,,,,,
106.536,22.973841,32.83316,34.617744,35.75901,,,,,,
106.88,22.988724,32.85614,34.630875,35.76321,,,,,,
107.225,22.985168,32.844749,34.612362,35.75898,,,,,,
107.57,22.992918,32.836704,34.617359,35.750957,,,,,,
107.915,22.999962,32.829746,34.621296,35.749542,,,,,,
108.259,23.005451,32.833221,34.624058,35.749981,,,,,,
108.604,23.004972,32.836502,34.615906,35.747547,,,,,,
108.949,23.007591,32.826767,34.620106,35.75174,,,,,,
109.293,23.007746,32.83836,34.616867,35.749577,,,,,,
109.637,23.009127,32.820244,34.618057,35.747017,,,,,,
109.982,23.005926,32.830654,34.613281,35.736183,,,,,,
110.327,23.002781,32.820923,34.610703,35.740208,,,,,,
110.672,22.99728,32.809212,34.608471,35.737976,,,,,,
111.016,22.993843,32.813488,34.606136,35.736359,,,,,,
111.361,22.992731,32.813103,34.597897,35.741142,,,,,,
111.716,22.988791,32.810982,34.600063,35.738491,,,,,,
112.064,22.99789,32.805168,34.591938,35.727699,,,,,,
112.409,22.994722,32.800774,34.588799,35.726704,,,,,,
112.753,23.001484,32.796757,34.594246,35.736069,,,,,,
113.098,22.995487,32.779549,34.583488,35.730316,,,,,,
113.442,22.995308,32.779369,34.572781,35.718544,,,,,,
113.787,22.9935,32.781151,34.57795,35.728168,,,,,,
114.132,22.974459,32.774605,34.571236,35.718071,,,,,,
114.477,22.978456,32.781609,34.570374,35.730053,,,,,,
114.821,22.982565,32.764053,34.568375,35.722702,,,,,,
115.166,22.975748,32.759079,34.569477,35.723091,,,,,,
115.511,22.974318,32.760521,34.57056,35.719715,,,,,,
115.856,22.968109,32.751324,34.564411,35.718388,,,,,,
116.2,22.969625,32.758015,34.568054,35.719711,,,,,,
116.545,22.960949,32.748871,34.559284,35.714157,,,,,,
116.89,22.949457,32.734077,34.556473,35.709743,,,,,,
117.234,22.943649,32.733864,34.559826,35.714344,,,,,,
117.579,22.944689,32.738827,34.5555,35.70895,,,,,,
117.925,22.951824,32.729099,34.556854,35.713871,,,,,,
118.27,22.941351,32.729259,34.548805,35.707077,,,,,,
118.614,22.936956,32.727585,34.552128,35.699875,,,,,,
118.959,22.933893,32.72097,34.551773,35.714676,,,,,,
119.304,22.939339,32.712605,34.54467,35.700268,,,,,,
119.649,22.935266,32.703381,34.538494,35.699272,,,,,,
119.993,22.926701,32.711334,34.542686,35.700607,,,,,,
120.338,22.931015,32.704708,34.535,35.706123,,,,,,
120.683,22.918577,32.687725,34.523933,35.690254,,,,,,
